Jerusalem B-Jerusalem B-Jerusalem
increase O O
. O O
Only O O
public O O
two O O
- O O
year O O
schools O O
, O O
chiefly O O
community O O
colleges O O
, O O
stayed O O
below O O
the O O
current O O
inflation O O
rate O O
_ O O
but O O
barely O O
. O O
Tuition O O
rose O O
this O O
year O O
to O O
$ O O
1,705 O O
, O O
up O O
3.4 O O
percent O O
, O O
the O O
survey O O
found O O
. O O
Private O O
two O O
- O O
year O O
schools O O
boosted O O
tuition O O
and O O
fees O O
to O O
$ O O
7,458 O O
, O O
a O O
7 O O
percent O O
rise O O
. O O
This O O
pattern O O
follows O O
an O O
old O O
, O O
familiar O O
trend O O
, O O
said O O
Joni O O
Finney O O
, O O
a O O
policy O O
analyst O O
at O O
the O O
National O O
Center O O
for O O
Public O O
Policy O O
and O O
Higher O O
Education O O
in O O
San O O
Jose O O
, O O
Calif O O
. O O
` O O
` O O
Colleges O O
and O O
universities O O
have O O
a O O
very O O
difficult O O
time O O
controlling O O
their O O
costs O O
, O O
' O O
' O O
she O O
said O O
. O O
` O O
` O O
These O O
institutions O O
were O O
underfunded O O
in O O
the O O
early O O
part O O
of O O
the O O
' O O
90s O O
, O O
' O O
' O O
Finney O O
said O O
. O O
But O O
they O O
' O O
ve O O
more O O
than O O
made O O
up O O
for O O
lost O O
ground O O
. O O
But O O
Stanley O O
Eikenberry O O
, O O
president O O
of O O
the O O
American O O
Council O O
on O O
Education O O
, O O
an O O
umbrella O O
group O O
for O O
higher O O
education O O
, O O
said O O
in O O
a O O
statement O O
, O O
Given O O
the O O
large O O
, O O
fixed O O
costs O O
of O O
most O O
campuses O O
, O O
in O O
personnel O O
and O O
facilities O O
especially O O
, O O
these O O
numbers O O
show O O
institutions O O
are O O
working O O
hard O O
to O O
hold O O
the O O
line O O
on O O
increases O O
. O O
The O O
recent O O
increases O O
push O O
past O O
inflation O O
. O O
The O O
Consumer O O
Price O O
Index O O
rose O O
2.7 O O
percent O O
in O O
1999 O O
; O O
the O O
first O O
eight O O
months O O
of O O
this O O
year O O
, O O
consumer O O
prices O O
rose O O
at O O
an O O
annual O O
rate O O
of O O
3.5 O O
percent O O
. O O
Last O O
year O O
, O O
college O O
tuition O O
and O O
fees O O
rose O O
less O O
than O O
5 O O
percent O O
. O O
Despite O O
the O O
increases O O
, O O
college O O
remains O O
affordable O O
and O O
a O O
good O O
investment O O
, O O
said O O
College O O
Board O O
President O O
Gaston O O
Caperton O O
in O O
a O O
statement O O
with O O
the O O
surveys O O
. O O
` O O
` O O
In O O
both O O
earning O O
potential O O
and O O
learning O O
potential O O
, O O
you O O
cannot O O
beat O O
the O O
value O O
of O O
a O O
college O O
education O O
, O O
' O O
' O O
the O O
former O O
West O O
Virginia O O
governor O O
said O O
. O O
The O O
College O O
Board O O
' O O
s O O
figures O O
concern O O
the O O
costs O O
for O O
6.4 O O
million O O
full O O
- O O
time O O
undergraduates O O
_ O O
54 O O
percent O O
attending O O
four O O
- O O
year O O
public O O
institutions O O
, O O
27 O O
percent O O
at O O
four O O
- O O
year O O
private O O
schools O O
, O O
17 O O
percent O O
at O O
two O O
- O O
year O O
community O O
colleges O O
and O O
1 O O
percent O O
at O O
private O O
two O O
- O O
year O O
schools O O
. O O
A O O
majority O O
of O O
students O O
need O O
grants O O
or O O
loans O O
_ O O
or O O
both O O
_ O O
but O O
their O O
exact O O
numbers O O
are O O
unknown O O
, O O
a O O
College O O
Board O O
spokesman O O
said O O
. O O
Last O O
school O O
year O O
, O O
loans O O
made O O
up O O
59 O O
percent O O
of O O
a O O
record O O
$ O O
68 O O
billion O O
in O O
financial O O
aid O O
. O O
A O O
decade O O
ago O O
, O O
loans O O
made O O
up O O
just O O
over O O
41 O O
percent O O
of O O
student O O
financial O O
help O O
. O O
The O O
pool O O
of O O
money O O
from O O
federal O O
, O O
state O O
and O O
school O O
sources O O
last O O
year O O
was O O
4 O O
percent O O
greater O O
than O O
a O O
year O O
earlier O O
, O O
but O O
88 O O
percent O O
more O O
than O O
a O O
decade O O
before O O
, O O
taking O O
inflation O O
into O O
account O O
. O O
The O O
New O O
York O O
- O O
based O O
College O O
Board O O
is O O
a O O
nonprofit O O
organization O O
that O O
administers O O
the O O
SATs O O
and O O
promotes O O
higher O O
education O O
. O O
It O O
surveyed O O
more O O
than O O
3,000 O O
schools O O
to O O
find O O
out O O
undergraduate O O
charges O O
for O O
2000 O O
- O O
2001 O O
. O O
The O O
companion O O
survey O O
on O O
financial O O
aid O O
, O O
was O O
based O O
on O O
federal O O
, O O
state O O
and O O
school O O
statistics O O
from O O
1999 O O
- O O
2000 O O
. O O
Current O O
grant O O
and O O
loan O O
figures O O
are O O
not O O
available O O
until O O
the O O
school O O
year O O
ends O O
. O O
_ O O
_ O O
_ O O
_ O O
On O O
the O O
Net O O
: O O
http O O
: O O
/ O O
/ O O
www O O
. O O
collegeboard O O
. O O
org O O
American O O
Council O O
on O O
Education O O
: O O
http O O
: O O
/ O O
/ O O
www O O
. O O
acenet O O
. O O
edu O O
ST O O
. O O
LOUIS O O
( O O
AP O O
) O O
_ O O
As O O
Republican O O
George O O
W O O
. O O
Bush O O
and O O
Democrat O O
Al O O
Gore O O
prepared O O
to O O
perch O O
on O O
stools O O
and O O
take O O
voters O O
' O O
questions O O
in O O
a O O
crucial O O
third O O
debate O O
, O O
the O O
sudden O O
death O O
of O O
Missouri O O
Gov O O
. O O
Mel O O
Carnahan O O
cast O O
a O O
pall O O
over O O
their O O
final O O
meeting O O
. O O
After O O
talk O O
of O O
cancellation O O
or O O
a O O
postponement O O
for O O
mourning O O
, O O
plans O O
were O O
made O O
early O O
Tuesday O O
to O O
continue O O
the O O
9 O O
p O O
. O O
m O O
. O O
EDT O O
event O O
on O O
schedule O O
, O O
officials O O
of O O
both O O
campaigns O O
said O O
. O O
` O O
` O O
In O O
the O O
end O O
, O O
there O O
was O O
general O O
agreement O O
that O O
Mel O O
Carnahan O O
would O O
have O O
wanted O O
us O O
to O O
go O O
forward O O
, O O
' O O
' O O
a O O
senior O O
Bush O O
campaign O O
official O O
said O O
, O O
speaking O O
on O O
condition O O
of O O
anonymity O O
. O O
Bush O O
' O O
s O O
wife O O
, O O
Laura O O
, O O
canceled O O
plans O O
for O O
a O O
morning O O
rally O O
. O O
Bush O O
campaign O O
officials O O
also O O
decided O O
to O O
tone O O
down O O
a O O
post O O
- O O
debate O O
rally O O
, O O
and O O
were O O
even O O
considering O O
canceling O O
it O O
. O O
Gore O O
hadn O O
' O O
t O O
planned O O
any O O
events O O
before O O
the O O
debate O O
. O O
Carnahan O O
, O O
a O O
Democrat O O
who O O
was O O
running O O
for O O
the O O
Senate O O
, O O
campaigned O O
with O O
Gore O O
whenever O O
the O O
vice O O
president O O
was O O
in O O
Missouri O O
and O O
would O O
have O O
accompanied O O
Gore O O
aboard O O
Air O O
Force O O
II O O
to O O
a O O
Kansas O O
City O O
rally O O
on O O
Wednesday O O
. O O
Gore O O
called O O
Mrs O O
. O O
Carnahan O O
with O O
his O O
condolences O O
after O O
the O O
news O O
broke O O
Monday O O
night O O
, O O
aides O O
said O O
. O O
` O O
` O O
We O O
' O O
re O O
all O O
waking O O
up O O
, O O
honestly O O
, O O
to O O
the O O
tragedy O O
and O O
the O O
pain O O
of O O
it O O
and O O
the O O
shock O O
of O O
it O O
, O O
' O O
' O O
Democratic O O
vice O O
presidential O O
candidate O O
Joseph O O
Lieberman O O
said O O
Tuesday O O
morning O O
on O O
CNN O O
. O O
The O O
Bush O O
and O O
Gore O O
campaigns O O
did O O
not O O
talk O O
to O O
each O O
other O O
directly O O
about O O
the O O
possibility O O
of O O
postponement O O
, O O
but O O
went O O
through O O
the O O
debate O O
commission O O
' O O
s O O
director O O
, O O
Janet O O
Brown O O
, O O
in O O
a O O
series O O
of O O
pre O O
- O O
dawn O O
phone O O
calls O O
. O O
Eventually O O
, O O
Brown O O
recommended O O
that O O
the O O
debate O O
should O O
go O O
on O O
, O O
and O O
neither O O
side O O
objected O O
, O O
according O O
to O O
campaign O O
officials O O
. O O
The O O
commission O O
was O O
to O O
announce O O
the O O
plans O O
later O O
Tuesday O O
, O O
with O O
each O O
candidate O O
given O O
time O O
at O O
the O O
debate O O
' O O
s O O
start O O
to O O
say O O
a O O
few O O
words O O
about O O
Carnahan O O
, O O
who O O
died O O
Monday O O
night O O
in O O
the O O
crash O O
of O O
a O O
small O O
plane O O
. O O
With O O
the O O
larger O O
bloc O O
of O O
uncommitted O O
voters O O
across O O
the O O
nation O O
apparently O O
holding O O
the O O
key O O
to O O
the O O
election O O
, O O
both O O
candidates O O
were O O
clearly O O
mindful O O
of O O
the O O
high O O
stakes O O
if O O
the O O
encounter O O
goes O O
forward O O
as O O
planned O O
. O O
The O O
informal O O
question O O
- O O
and O O
- O O
answer O O
format O O
is O O
one O O
Gore O O
is O O
comfortable O O
with O O
, O O
and O O
he O O
promised O O
on O O
Monday O O
to O O
` O O
` O O
just O O
have O O
an O O
open O O
meeting O O
, O O
' O O
' O O
as O O
he O O
had O O
done O O
many O O
times O O
before O O
. O O
Bush O O
, O O
who O O
has O O
less O O
formal O O
debate O O
experience O O
than O O
the O O
vice O O
president O O
but O O
whose O O
standing O O
in O O
public O O
opinion O O
polls O O
rose O O
after O O
the O O
first O O
two O O
face O O
- O O
offs O O
, O O
vowed O O
to O O
` O O
` O O
just O O
tell O O
it O O
like O O
it O O
is O O
. O O
' O O
' O O
The O O
debate O O
, O O
just O O
three O O
weeks O O
before O O
the O O
Nov O O
. O O
7 O O
election O O
, O O
will O O
be O O
held O O
on O O
the O O
campus O O
of O O
Washington O O
University O O
. O O
While O O
the O O
moderator O O
will O O
be O O
the O O
same O O
as O O
in O O
the O O
Boston O O
and O O
Winston O O
- O O
Salem O O
, O O
N O O
. O O
C O O
. O O
, O O
debates O O
_ O O
Jim O O
Lehrer O O
of O O
PBS O O
_ O O
questions O O
this O O
time O O
will O O
come O O
from O O
the O O
audience O O
. O O
The O O
Gallup O O
polling O O
organization O O
, O O
assigned O O
by O O
the O O
Commission O O
on O O
Presidential O O
Debates O O
to O O
recruit O O
questioners O O
, O O
started O O
with O O
a O O
random O O
sample O O
of O O
all O O
registered O O
voters O O
in O O
St O O
. O O
Louis O O
and O O
its O O
suburbs O O
, O O
and O O
then O O
screened O O
out O O
all O O
but O O
` O O
` O O
uncommitted O O
voters O O
, O O
' O O
' O O
said O O
Frank O O
Newport O O
, O O
Gallup O O
' O O
s O O
executive O O
editor O O
. O O
The O O
result O O
was O O
a O O
group O O
of O O
area O O
voters O O
who O O
say O O
they O O
could O O
support O O
either O O
Gore O O
or O O
Bush O O
_ O O
though O O
they O O
might O O
be O O
leaning O O
one O O
way O O
or O O
the O O
other O O
. O O
The O O
theater O O
- O O
in O O
- O O
the O O
- O O
round O O
stage O O
will O O
be O O
informally O O
set O O
with O O
two O O
stools O O
and O O
surrounded O O
by O O
100 O O
questioners O O
and O O
an O O
additional O O
500 O O
onlookers O O
. O O
Tuesday O O
night O O
' O O
s O O
debate O O
marks O O
the O O
beginning O O
of O O
the O O
final O O
stretch O O
. O O
And O O
, O O
with O O
polls O O
continuing O O
to O O
show O O
the O O
race O O
to O O
be O O
neck O O
- O O
and O O
- O O
neck O O
, O O
any O O
stumble O O
could O O
have O O
major O O
impact O O
on O O
a O O
contest O O
in O O
which O O
both O O
candidates O O
are O O
fiercely O O
wooing O O
a O O
dwindling O O
band O O
of O O
undecided O O
voters O O
. O O
Gore O O
held O O
a O O
mock O O
debate O O
on O O
Monday O O
, O O
inviting O O
23 O O
voters O O
to O O
the O O
Innsbrook O O
resort O O
outside O O
St O O
. O O
Louis O O
to O O
help O O
him O O
practice O O
. O O
` O O
` O O
I O O
' O O
m O O
going O O
to O O
do O O
what O O
I O O
' O O
ve O O
done O O
a O O
lot O O
of O O
times O O
in O O
Tennessee O O
, O O
and O O
that O O
is O O
, O O
just O O
have O O
an O O
open O O
meeting O O
, O O
' O O
' O O
Gore O O
said O O
. O O
In O O
16 O O
years O O
in O O
Congress O O
, O O
Gore O O
held O O
some O O
1,000 O O
town O O
meetings O O
with O O
Tennessee O O
constituents O O
, O O
and O O
they O O
' O O
ve O O
become O O
a O O
regular O O
feature O O
of O O
his O O
presidential O O
campaign O O
. O O
After O O
an O O
uncharacteristically O O
muted O O
demeanor O O
in O O
last O O
week O O
' O O
s O O
debate O O
, O O
Gore O O
, O O
was O O
looking O O
to O O
do O O
better O O
this O O
time O O
. O O
` O O
` O O
I O O
don O O
' O O
t O O
think O O
you O O
play O O
it O O
safe O O
, O O
' O O
' O O
said O O
Gore O O
' O O
s O O
campaign O O
chairman O O
, O O
William O O
Daley O O
, O O
previewing O O
the O O
Tuesday O O
night O O
encounter O O
. O O
I O O
think O O
you O O
try O O
to O O
be O O
very O O
natural O O
and O O
lay O O
out O O
in O O
a O O
forward O O
way O O
the O O
compelling O O
reasons O O
for O O
the O O
election O O
to O O
go O O
your O O
way O O
. O O
Bush O O
had O O
long O O
resisted O O
the O O
town O O
- O O
hall O O
- O O
style O O
session O O
, O O
but O O
in O O
recent O O
weeks O O
on O O
the O O
campaign O O
trail O O
has O O
been O O
doing O O
them O O
almost O O
daily O O
. O O
` O O
` O O
I O O
' O O
ve O O
felt O O
comfortable O O
about O O
it O O
, O O
' O O
' O O
the O O
Republican O O
said O O
Monday O O
. O O
ROME O O
, O O
Italy O O
( O O
AP O O
) O O
_ O O
A O O
little O O
mountain O O
village O O
in O O
northern O O
Italy O O
buried O O
five O O
victims O O
of O O
last O O
week O O
' O O
s O O
devastating O O
high O O
water O O
and O O
mudslides O O
on O O
Sunday O O
, O O
the O O
day O O
a O O
state O O
of O O
emergency O O
finally O O
ran O O
out O O
. O O
Floodwaters O O
throughout O O
the O O
region O O
, O O
including O O
the O O
raging O O
Po O O
River O O
, O O
have O O
ebbed O O
, O O
emptying O O
into O O
the O O
Adriatic O O
and O O
revealing O O
a O O
rising O O
toll O O
of O O
damage O O
. O O
Some O O
roads O O
and O O
bridges O O
are O O
still O O
closed O O
and O O
could O O
remain O O
so O O
for O O
some O O
time O O
, O O
officials O O
say O O
. O O
The O O
death O O
toll O O
from O O
the O O
raging O O
floodwaters O O
and O O
fearsome O O
mudslides O O
reached O O
37 O O
combined O O
for O O
the O O
Alpine O O
region O O
of O O
northern O O
Italy O O
and O O
southern O O
Switzerland O O
. O O
Eighteen O O
of O O
those O O
were O O
from O O
the O O
Valle O O
d O O
' O O
Aosta O O
in O O
the O O
Italian O O
Alps O O
. O O
At O O
the O O
church O O
of O O
San O O
Maurizio O O
in O O
Fenis O O
, O O
a O O
mountain O O
hamlet O O
near O O
the O O
city O O
of O O
Aosta O O
, O O
villagers O O
paid O O
their O O
final O O
respects O O
to O O
five O O
local O O
victims O O
. O O
Among O O
them O O
, O O
double O O
losses O O
for O O
two O O
families O O
_ O O
a O O
father O O
and O O
son O O
in O O
one O O
, O O
a O O
mother O O
and O O
daughter O O
in O O
another O O
. O O
Amid O O
the O O
grief O O
in O O
communities O O
throughout O O
the O O
stricken O O
area O O
, O O
life O O
was O O
slowly O O
returning O O
to O O
something O O
resembling O O
normal O O
. O O
But O O
thousands O O
were O O
still O O
unable O O
to O O
go O O
back O O
to O O
their O O
drenched O O
or O O
damaged O O
homes O O
and O O
a O O
huge O O
task O O
of O O
rebuilding O O
lay O O
ahead O O
. O O
Authorities O O
estimate O O
the O O
damage O O
in O O
the O O
hundreds O O
of O O
million O O
of O O
dollars O O
. O O
LITTLETON O O
, O O
Colo O O
. O O
( O O
AP O O
) O O
_ O O
The O O
wife O O
of O O
Patrick O O
Roy O O
, O O
the O O
NHL O O
' O O
s O O
winningest O O
goalie O O
, O O
called O O
911 O O
because O O
she O O
was O O
afraid O O
of O O
what O O
her O O
husband O O
would O O
do O O
as O O
they O O
argued O O
about O O
in O O
- O O
laws O O
, O O
according O O
to O O
a O O
police O O
report O O
released O O
Monday O O
. O O
Michele O O
Roy O O
was O O
not O O
hurt O O
during O O
the O O
dispute O O
at O O
their O O
home O O
early O O
Sunday O O
, O O
but O O
Roy O O
admitted O O
pulling O O
a O O
bedroom O O
door O O
off O O
its O O
hinges O O
and O O
damaging O O
another O O
after O O
his O O
wife O O
called O O
Greenwood O O
Village O O
police O O
and O O
hung O O
up O O
without O O
speaking O O
, O O
the O O
report O O
said O O
. O O
The O O
somber O O
Colorado O O
Avalanche O O
goalie O O
, O O
accompanied O O
by O O
his O O
parents O O
, O O
sister O O
and O O
brother O O
, O O
stood O O
with O O
his O O
hands O O
clasped O O
behind O O
his O O
back O O
during O O
a O O
brief O O
court O O
appearance O O
. O O
The O O
initial O O
hearing O O
was O O
postponed O O
until O O
Nov O O
. O O
7 O O
. O O
Roy O O
remained O O
free O O
on O O
a O O
$ O O
750 O O
bail O O
and O O
left O O
by O O
a O O
side O O
door O O
without O O
comment O O
. O O
His O O
wife O O
was O O
absent O O
. O O
The O O
judge O O
also O O
issued O O
a O O
restraining O O
order O O
that O O
is O O
standard O O
in O O
domestic O O
- O O
dispute O O
cases O O
, O O
which O O
requires O O
Roy O O
to O O
refrain O O
from O O
alcohol O O
and O O
illegal O O
drugs O O
and O O
possession O O
of O O
guns O O
or O O
weapons O O
. O O
He O O
was O O
permitted O O
to O O
return O O
home O O
to O O
his O O
family O O
and O O
is O O
allowed O O
to O O
travel O O
with O O
the O O
team O O
to O O
out O O
- O O
of O O
- O O
state O O
games O O
. O O
After O O
the O O
Avalanche O O
' O O
s O O
practice O O
, O O
Roy O O
read O O
a O O
brief O O
statement O O
, O O
noting O O
that O O
he O O
could O O
not O O
comment O O
on O O
his O O
arrest O O
on O O
the O O
advice O O
of O O
his O O
lawyer O O
. O O
He O O
also O O
asked O O
that O O
the O O
public O O
respect O O
his O O
family O O
' O O
s O O
privacy O O
. O O
` O O
` O O
Obviously O O
, O O
this O O
is O O
creating O O
a O O
distraction O O
, O O
and O O
my O O
wish O O
is O O
that O O
this O O
distraction O O
will O O
be O O
over O O
soon O O
, O O
' O O
' O O
he O O
said O O
. O O
I O O
am O O
thankful O O
for O O
the O O
support O O
I O O
am O O
getting O O
from O O
my O O
family O O
and O O
every O O
one O O
of O O
my O O
teammates O O
. O O
Colorado O O
players O O
showed O O
unified O O
support O O
for O O
Roy O O
, O O
saying O O
they O O
believe O O
he O O
will O O
remain O O
focused O O
after O O
an O O
eight O O
- O O
game O O
( O O
6 O O
- O O
0 O O
- O O
2 O O
) O O
unbeaten O O
streak O O
to O O
start O O
the O O
season O O
. O O
The O O
team O O
' O O
s O O
next O O
game O O
is O O
at O O
home O O
Wednesday O O
against O O
Nashville O O
. O O
` O O
` O O
We O O
' O O
ve O O
always O O
stuck O O
together O O
and O O
we O O
' O O
ll O O
stick O O
by O O
Patrick O O
, O O
' O O
' O O
defenseman O O
Ray O O
Bourque O O
said O O
. O O
We O O
know O O
he O O
is O O
a O O
quality O O
person O O
and O O
a O O
great O O
family O O
man O O
. O O
Defenseman O O
Aaron O O
Miller O O
said O O
, O O
Until O O
we O O
find O O
out O O
exactly O O
what O O
' O O
s O O
going O O
on O O
, O O
we O O
' O O
re O O
not O O
going O O
to O O
let O O
it O O
bother O O
us O O
or O O
distract O O
us O O
. O O
I O O
think O O
I O O
speak O O
for O O
the O O
whole O O
team O O
that O O
we O O
' O O
re O O
behind O O
Patty O O
100 O O
percent O O
. O O
Roy O O
, O O
35 O O
, O O
was O O
arrested O O
and O O
charged O O
Sunday O O
with O O
misdemeanor O O
criminal O O
mischief O O
which O O
occurred O O
during O O
an O O
act O O
of O O
domestic O O
violence O O
. O O
If O O
convicted O O
, O O
he O O
faces O O
a O O
maximum O O
of O O
one O O
year O O
in O O
the O O
county O O
jail O O
and O O
a O O
$ O O
1,000 O O
fine O O
, O O
said O O
a O O
spokesman O O
for O O
the O O
Arapahoe O O
County O O
district O O
attorney O O
' O O
s O O
office O O
. O O
Officers O O
responded O O
to O O
the O O
911 O O
hang O O
- O O
up O O
call O O
at O O
Roy O O
' O O
s O O
residence O O
, O O
where O O
Michele O O
Roy O O
told O O
them O O
the O O
two O O
had O O
been O O
arguing O O
. O O
Roy O O
was O O
honored O O
Friday O O
night O O
for O O
winning O O
his O O
448th O O
game O O
three O O
days O O
before O O
, O O
a O O
4 O O
- O O
3 O O
victory O O
in O O
overtime O O
against O O
the O O
Washington O O
Capitals O O
. O O
He O O
broke O O
the O O
mark O O
set O O
by O O
Terry O O
Sawchuk O O
. O O
JERUSALEM O O
( O O
AP O O
) O O
_ O O
A O O
car O O
bomb O O
exploded O O
Thursday O O
in O O
a O O
crowded O O
outdoor O O
market O O
in O O
the O O
heart O O
of O O
Jerusalem O O
, O O
killing O O
at O O
least O O
two O O
people O O
, O O
police O O
said O O
. O O
Ambulances O O
raced O O
to O O
the O O
Mahane O O
Yehuda O O
market O O
, O O
which O O
sells O O
food O O
, O O
vegetables O O
and O O
clothing O O
in O O
Jewish O O
west O O
Jerusalem O O
. O O
Huge O O
plumes O O
of O O
black O O
smoke O O
rose O O
into O O
the O O
sky O O
. O O
The O O
blast O O
came O O
shortly O O
before O O
Israeli O O
Prime O O
Minister O O
Ehud O O
Barak O O
and O O
Palestinian O O
leader O O
Yasser O O
Arafat O O
were O O
scheduled O O
to O O
make O O
separate O O
announcements O O
of O O
steps O O
toward O O
a O O
cease O O
- O O
fire O O
. O O
KABUL O O
, O O
Afghanistan O O
( O O
AP O O
) O O
_ O O
The O O
ruling O O
Taliban O O
militia O O
on O O
Monday O O
released O O
137 O O
Shiite O O
Muslim O O
prisoners O O
it O O
had O O
held O O
for O O
nearly O O
two O O
years O O
and O O
urged O O
the O O
opposition O O
to O O
follow O O
suit O O
and O O
release O O
government O O
prisoners O O
it O O
is O O
holding O O
. O O
The O O
freed O O
men O O
, O O
all O O
said O O
to O O
be O O
fighters O O
belonging O O
to O O
the O O
opposition O O
alliance O O
, O O
were O O
released O O
ahead O O
of O O
the O O
Islamic O O
holy O O
month O O
of O O
Ramadan O O
, O O
when O O
devout O O
Muslims O O
fast O O
from O O
sunrise O O
to O O
sunset O O
. O O
` O O
` O O
The O O
prisoners O O
are O O
being O O
released O O
as O O
a O O
gesture O O
of O O
kindness O O
' O O
' O O
by O O
the O O
Taliban O O
' O O
s O O
supreme O O
leader O O
Mullah O O
Mohammed O O
Omar O O
, O O
said O O
the O O
Taliban O O
' O O
s O O
Interior O O
Minister O O
Abdul O O
Razzak O O
Akhund O O
. O O
We O O
ask O O
the O O
opposition O O
to O O
show O O
their O O
heart O O
and O O
release O O
government O O
prisoners O O
in O O
their O O
jails O O
. O O
The O O
opposition O O
alliance O O
, O O
which O O
controls O O
barely O O
five O O
percent O O
of O O
Afghanistan O O
and O O
is O O
fighting O O
a O O
war O O
against O O
the O O
dominant O O
Taliban O O
, O O
is O O
mostly O O
made O O
up O O
of O O
the O O
country O O
' O O
s O O
minority O O
ethnic O O
and O O
religious O O
groups O O
. O O
The O O
Taliban O O
are O O
predominantly O O
Sunni O O
Muslim O O
, O O
which O O
is O O
the O O
majority O O
Islamic O O
sect O O
in O O
the O O
country O O
. O O
The O O
Taliban O O
have O O
been O O
accused O O
by O O
international O O
human O O
rights O O
groups O O
of O O
mistreating O O
the O O
minority O O
Shiite O O
Muslims O O
, O O
a O O
charge O O
they O O
reject O O
. O O
The O O
newly O O
released O O
prisoners O O
were O O
captured O O
when O O
the O O
Taliban O O
took O O
control O O
of O O
Afghanistan O O
' O O
s O O
central O O
Bamyan O O
province O O
, O O
nearly O O
two O O
years O O
ago O O
. O O
The O O
area O O
is O O
largely O O
inhabited O O
by O O
minority O O
Shiite O O
Muslims O O
. O O
` O O
` O O
I O O
am O O
very O O
happy O O
to O O
be O O
going O O
home O O
, O O
' O O
' O O
said O O
Ali O O
Jan O O
, O O
one O O
of O O
the O O
prisoners O O
who O O
said O O
he O O
was O O
a O O
farmer O O
in O O
Bamyan O O
and O O
not O O
a O O
soldier O O
. O O
ARLINGTON O O
, O O
Texas O O
( O O
AP O O
) O O
_ O O
One O O
of O O
baseball O O
' O O
s O O
biggest O O
free O O
- O O
agent O O
prizes O O
, O O
Alex O O
Rodriguez O O
is O O
getting O O
red O O
- O O
carpet O O
treatment O O
from O O
the O O
Texas O O
Rangers O O
. O O
And O O
even O O
the O O
Dallas O O
Stars O O
are O O
lending O O
a O O
hand O O
in O O
trying O O
to O O
win O O
over O O
the O O
All O O
- O O
Star O O
shortstop O O
. O O
Rodriguez O O
and O O
agent O O
Scott O O
Boras O O
were O O
expected O O
to O O
meet O O
Monday O O
with O O
Rangers O O
owner O O
Tom O O
Hicks O O
. O O
He O O
will O O
be O O
joined O O
by O O
general O O
manager O O
Doug O O
Melvin O O
, O O
manager O O
Johnny O O
Oates O O
and O O
several O O
players O O
. O O
The O O
team O O
' O O
s O O
bid O O
for O O
Rodriguez O O
hasn O O
' O O
t O O
been O O
slowed O O
by O O
the O O
expected O O
demand O O
of O O
at O O
least O O
a O O
10 O O
- O O
year O O
contract O O
, O O
in O O
the O O
range O O
of O O
$ O O
20 O O
million O O
a O O
year O O
, O O
loaded O O
with O O
fringe O O
benefits O O
. O O
` O O
` O O
We O O
feel O O
at O O
the O O
expense O O
of O O
last O O
year O O
, O O
we O O
have O O
our O O
roster O O
where O O
we O O
don O O
' O O
t O O
have O O
to O O
trade O O
people O O
to O O
make O O
this O O
work O O
, O O
' O O
' O O
Melvin O O
said O O
in O O
the O O
Fort O O
Worth O O
Star O O
- O O
Telegram O O
on O O
Monday O O
. O O
I O O
' O O
m O O
not O O
saying O O
we O O
have O O
all O O
the O O
money O O
in O O
the O O
world O O
, O O
but O O
we O O
don O O
' O O
t O O
have O O
to O O
bust O O
our O O
budget O O
completely O O
. O O
We O O
' O O
re O O
in O O
a O O
better O O
position O O
than O O
most O O
other O O
clubs O O
. O O
Stars O O
center O O
Mike O O
Modano O O
is O O
being O O
called O O
in O O
to O O
help O O
show O O
Rodriguez O O
around O O
the O O
Dallas O O
- O O
Fort O O
Worth O O
area O O
and O O
tell O O
him O O
why O O
it O O
would O O
be O O
a O O
great O O
place O O
to O O
play O O
. O O
Melvin O O
said O O
he O O
doesn O O
' O O
t O O
expect O O
the O O
Rangers O O
to O O
make O O
a O O
formal O O
offer O O
until O O
they O O
can O O
gauge O O
the O O
level O O
of O O
interest O O
from O O
Rodriguez O O
. O O
The O O
25 O O
- O O
year O O
- O O
old O O
shortstop O O
, O O
who O O
hit O O
. O O
316 O O
with O O
41 O O
homers O O
and O O
132 O O
RBIs O O
at O O
Seattle O O
last O O
season O O
, O O
also O O
reportedly O O
has O O
been O O
targeted O O
by O O
the O O
Chicago O O
White O O
Sox O O
, O O
Los O O
Angeles O O
Dodgers O O
, O O
New O O
York O O
Mets O O
and O O
Atlanta O O
Braves O O
. O O
The O O
Mariners O O
, O O
Rodriguez O O
' O O
s O O
team O O
the O O
past O O
six O O
years O O
, O O
also O O
wanted O O
to O O
re O O
- O O
sign O O
him O O
. O O
` O O
` O O
This O O
gives O O
us O O
a O O
chance O O
to O O
tell O O
him O O
about O O
our O O
organization O O
and O O
the O O
direction O O
we O O
' O O
re O O
going O O
, O O
answer O O
any O O
questions O O
they O O
might O O
have O O
about O O
us O O
, O O
' O O
' O O
Melvin O O
said O O
. O O
Some O O
even O O
have O O
a O O
neighborhood O O
_ O O
the O O
fashionable O O
Dallas O O
suburb O O
of O O
Highland O O
Park O O
_ O O
picked O O
out O O
for O O
Rodriguez O O
. O O
Neighbors O O
of O O
one O O
available O O
residence O O
_ O O
a O O
five O O
- O O
bedroom O O
spread O O
worth O O
$ O O
11.95 O O
million O O
_ O O
would O O
include O O
Hicks O O
, O O
Modano O O
and O O
Dallas O O
Cowboys O O
owner O O
Jerry O O
Jones O O
. O O
` O O
` O O
Alex O O
