Jerusalem	B	Jerusalem	http://en.wikipedia.org/wiki/Jerusalem	Jerusalem
River				Po_(river)
,				
have				
ebbed				
,				
emptying				
into				
the				
Adriatic				Adriatic_Sea
and				
revealing				
a				
rising				
toll				
of				
damage				
.				
				
Some				
roads				
and				
bridges				
are				
still				
closed				
and				
could				
remain				
so				
for				
some				
time				
,				
officials				
say				
.				
				
The				
death				
toll				
from				
the				
raging				
floodwaters				
and				
fearsome				
mudslides				
reached				
37				
combined				
for				
the				
Alpine				Alps
region				
of				
northern				
Italy				Italy
and				
southern				
Switzerland				Switzerland
.				
				
Eighteen				
of				
those				
were				
from				
the				
Valle				Aosta_Valley
d				Aosta_Valley
'				Aosta_Valley
Aosta				Aosta_Valley
in				
the				
Italian				Alps
Alps				Alps
.				
				
At				
the				
church				
of				
San				Saint_Maurice
Maurizio				Saint_Maurice
in				
Fenis				
,				
a				
mountain				
hamlet				
near				
the				
city				
of				
Aosta				Aosta
,				
villagers				
paid				
their				
final				
respects				
to				
five				
local				
victims				
.				
Among				
them				
,				
double				
losses				
for				
two				
families				
_				
a				
father				
and				
son				
in				
one				
,				
a				
mother				
and				
daughter				
in				
another				
.				
				
Amid				
the				
grief				
in				
communities				
throughout				
the				
stricken				
area				
,				
life				
was				
slowly				
returning				
to				
something				
resembling				
normal				
.				
				
But				
thousands				
were				
still				
unable				
to				
go				
back				
to				
their				
drenched				
or				
damaged				
homes				
and				
a				
huge				
task				
of				
rebuilding				
lay				
ahead				
.				
Authorities				
estimate				
the				
damage				
in				
the				
hundreds				
of				
million				
of				
dollars				
.				
				
LITTLETON				Littleton,_Colorado
,				
Colo				Colo,_Iowa
.				
(				
AP				Associated_Press
)				
_				
The				
wife				
of				
Patrick				Patrick_Roy
Roy				Patrick_Roy
,				
the				
NHL				National_Hockey_League
'				
s				
winningest				
goalie				
,				
called				
911				
because				
she				
was				
afraid				
of				
what				
her				
husband				
would				
do				
as				
they				
argued				
about				
in				
-				
laws				
,				
according				
to				
a				
police				
report				
released				
Monday				
.				
				
Michele				
Roy				
was				
not				
hurt				
during				
the				
dispute				
at				
their				
home				
early				
Sunday				
,				
but				
Roy				Patrick_Roy
admitted				
pulling				
a				
bedroom				
door				
off				
its				
hinges				
and				
damaging				
another				
after				
his				
wife				
called				
Greenwood				
Village				
police				
and				
hung				
up				
without				
speaking				
,				
the				
report				
said				
.				
				
The				
somber				
Colorado				Colorado_Avalanche
Avalanche				Colorado_Avalanche
goalie				
,				
accompanied				
by				
his				
parents				
,				
sister				
and				
brother				
,				
stood				
with				
his				
hands				
clasped				
behind				
his				
back				
during				
a				
brief				
court				
appearance				
.				
				
The				
initial				
hearing				
was				
postponed				
until				
Nov				
.				
7				
.				
				
Roy				Patrick_Roy
remained				
free				
on				
a				
$				
750				
bail				
and				
left				
by				
a				
side				
door				
without				
comment				
.				
				
His				
wife				
was				
absent				
.				
				
The				
judge				
also				
issued				
a				
restraining				
order				
that				
is				
standard				
in				
domestic				
-				
dispute				
cases				
,				
which				
requires				
Roy				Patrick_Roy
to				
refrain				
from				
alcohol				
and				
illegal				
drugs				
and				
possession				
of				
guns				
or				
weapons				
.				
				
He				
was				
permitted				
to				
return				
home				
to				
his				
family				
and				
is				
allowed				
to				
travel				
with				
the				
team				
to				
out				
-				
of				
-				
state				
games				
.				
				
After				
the				
Avalanche				Avalanche_(disambiguation)
'				
s				
practice				
,				
Roy				Patrick_Roy
read				
a				
brief				
statement				
,				
noting				
that				
he				
could				
not				
comment				
on				
his				
arrest				
on				
the				
advice				
of				
his				
lawyer				
.				
				
He				
also				
asked				
that				
the				
public				
respect				
his				
family				
'				
s				
privacy				
.				
				
`				
`				
Obviously				
,				
this				
is				
creating				
a				
distraction				
,				
and				
my				
wish				
is				
that				
this				
distraction				
will				
be				
over				
soon				
,				
'				
'				
he				
said				
.				
				
I				
am				
thankful				
for				
the				
support				
I				
am				
getting				
from				
my				
family				
and				
every				
one				
of				
my				
teammates				
.				
				
Colorado				Colorado_(disambiguation)
players				
showed				
unified				
support				
for				
Roy				Patrick_Roy
,				
saying				
they				
believe				
he				
will				
remain				
focused				
after				
an				
eight				
-				
game				
(				
6				
-				
0				
-				
2				
)				
unbeaten				
streak				
to				
start				
the				
season				
.				
				
The				
team				
'				
s				
next				
game				
is				
at				
home				
Wednesday				
against				
Nashville				Nashville_(disambiguation)
.				
				
`				
`				
We				
'				
ve				
always				
stuck				
together				
and				
we				
'				
ll				
stick				
by				
Patrick				Patrick_Roy
,				
'				
'				
defenseman				
Ray				Ray_Bourque
Bourque				Ray_Bourque
said				
.				
				
We				
know				
he				
is				
a				
quality				
person				
and				
a				
great				
family				
man				
.				
				
Defenseman				
Aaron				Aaron_Miller_(disambiguation)
Miller				Aaron_Miller_(disambiguation)
said				
,				
Until				
we				
find				
out				
exactly				
what				
'				
s				
going				
on				
,				
we				
'				
re				
not				
going				
to				
let				
it				
bother				
us				
or				
distract				
us				
.				
				
I				
think				
I				
speak				
for				
the				
whole				
team				
that				
we				
'				
re				
behind				
Patty				Budge_Patty
100				
percent				
.				
				
Roy				Patrick_Roy
,				
35				
,				
was				
arrested				
and				
charged				
Sunday				
with				
misdemeanor				
criminal				
mischief				
which				
occurred				
during				
an				
act				
of				
domestic				
violence				
.				
				
If				
convicted				
,				
he				
faces				
a				
maximum				
of				
one				
year				
in				
the				
county				
jail				
and				
a				
$				
1,000				
fine				
,				
said				
a				
spokesman				
for				
the				
Arapahoe				Arapahoe_County_(disambiguation)
County				Arapahoe_County_(disambiguation)
district				
attorney				
'				
s				
office				
.				
				
Officers				
responded				
to				
the				
911				
hang				
-				
up				
call				
at				
Roy				Patrick_Roy
'				
s				
residence				
,				
where				
Michele				
Roy				
told				
them				
the				
two				
had				
been				
arguing				
.				
				
Roy				Patrick_Roy
was				
honored				
Friday				
night				
for				
winning				
his				
448th				
game				
three				
days				
before				
,				
a				
4				
-				
3				
victory				
in				
overtime				
against				
the				
Washington				Washington_Capitals
Capitals				Washington_Capitals
.				
				
He				
broke				
the				
mark				
set				
by				
Terry				
Sawchuk				
.				
				
JERUSALEM				Jerusalem
(				
AP				
)				
_				
A				
car				
bomb				
exploded				
Thursday				
in				
a				
crowded				
outdoor				
market				
in				
the				
heart				
of				
Jerusalem				Jerusalem
,				
killing				
at				
least				
two				
people				
,				
police				
said				
.				
				
Ambulances				
raced				
to				
the				
Mahane				Mahane_Yehuda_Market
Yehuda				Mahane_Yehuda_Market
market				
,				
which				
sells				
food				
,				
vegetables				
and				
clothing				
in				
Jewish				Jews
west				
Jerusalem				Jerusalem
.				
Huge				
plumes				
of				
black				
smoke				
rose				
into				
the				
sky				
.				
				
The				
blast				
came				
shortly				
before				
Israeli				Israel
Prime				
Minister				
Ehud				Ehud_Barak
Barak				Ehud_Barak
and				
Palestinian				State_of_Palestine
leader				
Yasser				Yasser_Arafat
Arafat				Yasser_Arafat
were				
scheduled				
to				
make				
separate				
announcements				
of				
steps				
toward				
a				
cease				
-				
fire				
.				
				
KABUL				Kabul
,				
Afghanistan				Afghanistan
(				
AP				Associated_Press
)				
_				
The				
ruling				
Taliban				Taliban
militia				
on				
Monday				
released				
137				
Shiite				Shia_Islam
Muslim				Shia_Islam
prisoners				
it				
had				
held				
for				
nearly				
two				
years				
and				
urged				
the				
opposition				
to				
follow				
suit				
and				
release				
government				
prisoners				
it				
is				
holding				
.				
				
The				
freed				
men				
,				
all				
said				
to				
be				
fighters				
belonging				
to				
the				
opposition				
alliance				
,				
were				
released				
ahead				
of				
the				
Islamic				Islam
holy				
month				
of				
Ramadan				Ramadan
,				
when				
devout				
Muslims				Islam
fast				
from				
sunrise				
to				
sunset				
.				
				
`				
`				
The				
prisoners				
are				
being				
released				
as				
a				
gesture				
of				
kindness				
'				
'				
by				
the				
Taliban				Taliban
'				
s				
supreme				
leader				
Mullah				Mohammed_Omar
Mohammed				Mohammed_Omar
Omar				Mohammed_Omar
,				
said				
the				
Taliban				Taliban
'				
s				
Interior				
Minister				
Abdul				
Razzak				
Akhund				
.				
				
We				
ask				
the				
opposition				
to				
show				
their				
heart				
and				
release				
government				
prisoners				
in				
their				
jails				
.				
				
The				
opposition				
alliance				
,				
which				
controls				
barely				
five				
percent				
of				
Afghanistan				Afghanistan
and				
is				
fighting				
a				
war				
against				
the				
dominant				
Taliban				Taliban
,				
is				
mostly				
made				
up				
of				
the				
country				
'				
s				
minority				
ethnic				
and				
religious				
groups				
.				
				
The				
Taliban				Taliban
are				
predominantly				
Sunni				Islam
Muslim				Islam
,				
which				
is				
the				
majority				
Islamic				Islam
sect				
in				
the				
country				
.				
				
The				
Taliban				Taliban
have				
been				
accused				
by				
international				
human				
rights				
groups				
of				
mistreating				
the				
minority				
Shiite				Shia_Islam
Muslims				Shia_Islam
,				
a				
charge				
they				
reject				
.				
				
The				
newly				
released				
prisoners				
were				
captured				
when				
the				
Taliban				Taliban
took				
control				
of				
Afghanistan				Afghanistan
'				
s				
central				
Bamyan				
province				
,				
nearly				
two				
years				
ago				
.				
				
The				
area				
is				
largely				
inhabited				
by				
minority				
Shiite				Shia_Islam
Muslims				Shia_Islam
.				
				
`				
`				
I				
am				
very				
happy				
to				
be				
going				
home				
,				
'				
'				
said				
Ali				
Jan				
,				
one				
of				
the				
prisoners				
who				
said				
he				
was				
a				
farmer				
in				
Bamyan				
and				
not				
a				
soldier				
.				
				
ARLINGTON				Arlington,_Texas
,				
Texas				Texas_Rangers_(baseball)
(				
AP				Associated_Press
)				
_				
One				
of				
baseball				
'				
s				
biggest				
free				
-				
agent				
prizes				
,				
Alex				Alex_Rodriguez
Rodriguez				Alex_Rodriguez
is				
getting				
red				
-				
carpet				
treatment				
from				
the				
Texas				Texas_Rangers_(baseball)
Rangers				Texas_Rangers_(baseball)
.				
				
And				
even				
the				
Dallas				Dallas_Stars
Stars				Dallas_Stars
are				
lending				
a				
hand				
in				
trying				
to				
win				
over				
the				
All				
-				
Star				
shortstop				
.				
				Alex_Rodriguez
Rodriguez				Alex_Rodriguez
and				
agent				
Scott				Scott_Boras
Boras				Scott_Boras
were				
expected				
to				
meet				
Monday				
with				
Rangers				Rangers_F.C.
owner				
Tom				Tom_Hicks
Hicks				Tom_Hicks
.				
				
He				
will				
be				
joined				
by				
general				
manager				
Doug				Doug_Melvin
Melvin				Doug_Melvin
,				
manager				
Johnny				Johnny_Oates
Oates				Johnny_Oates
and				
several				
players				
.				
				
The				
team				
'				
s				
bid				
for				
Rodriguez				Alex_Rodriguez
hasn				
'				
t				
been				
slowed				
by				
the				
expected				
demand				
of				
at				
least				
a				
10				
-				
year				
contract				
,				
in				
the				
range				
of				
$				
20				
million				
a				
year				
,				
loaded				
with				
fringe				
benefits				
.				
				
`				
`				
We				
feel				
at				
the				
expense				
of				
last				
year				
,				
we				
have				
our				
roster				
where				
we				
don				
'				
t				
have				
to				
trade				
people				
to				
make				
this				
work				
,				
'				
'				
Melvin				Doug_Melvin
said				
in				
the				
Fort				
Worth				
Star				
-				
Telegram				
on				
Monday				
.				
				
I				
'				
m				
not				
saying				
we				
have				
all				
the				
money				
in				
the				
world				
,				
but				
we				
don				
'				
t				
have				
to				
bust				
our				
budget				
completely				
.				
				
We				
'				
re				
in				
a				
better				
position				
than				
most				
other				
clubs				
.				
				
Stars				
center				
Mike				
Modano				
is				
being				
called				
in				
to				
help				
show				
Rodriguez				Alex_Rodriguez
around				
the				
Dallas				Dallas
-				
Fort				Fort_Worth,_Texas
Worth				Fort_Worth,_Texas
area				
and				
tell				
him				
why				
it				
would				
be				
a				
great				
place				
to				
play				
.				
				
Melvin				Doug_Melvin
said				
he				
doesn				
'				
t				
expect				
the				
Rangers				Texas_Rangers_(baseball)
to				
make				
a				
formal				
offer				
until				
they				
can				
gauge				
the				
level				
of				
interest				
from				
Rodriguez				Alex_Rodriguez
.				
				
The				
25				
-				
year				
-				
old				
shortstop				
,				
who				
hit				
.				
316				
with				
41				
homers				
and				
132				
RBIs				Run_batted_in
at				
Seattle				Seattle_Mariners
last				
season				
,				
also				
reportedly				
has				
been				
targeted				
by				
the				
Chicago				Chicago_White_Sox
White				Chicago_White_Sox
Sox				Chicago_White_Sox
,				
Los				Los_Angeles_Dodgers
Angeles				Los_Angeles_Dodgers
Dodgers				Los_Angeles_Dodgers
,				
New				New_York_Mets
York				New_York_Mets
Mets				New_York_Mets
and				
Atlanta				Atlanta_Braves
Braves				Atlanta_Braves
.				
				
The				
Mariners				Seattle_Mariners
,				
Rodriguez				Alex_Rodriguez
'				
s				
team				
the				
past				
six				
years				
,				
also				
wanted				
to				
re				
-				
sign				
him				
.				
				
`				
`				
This				
gives				
us				
a				
chance				
to				
tell				
him				
about				
our				
organization				
and				
the				
direction				
we				
'				
re				
going				
,				
answer				
any				
questions				
they				
might				
have				
about				
us				
,				
'				
'				
Melvin				Doug_Melvin
said				
.				
				
Some				
even				
have				
a				
neighborhood				
_				
the				
fashionable				
Dallas				Dallas
suburb				
of				
Highland				Highland_Park,_Illinois
Park				Highland_Park,_Illinois
_				
picked				
out				
for				
Rodriguez				Alex_Rodriguez
.				
				
Neighbors				
of				
one				
available				
residence				
_				
a				
five				
-				
bedroom				
spread				
worth				
$				
11.95				
million				
_				
would				
include				
Hicks				Tom_Hicks
,				
Modano				
and				
Dallas				Dallas_Cowboys
Cowboys				Dallas_Cowboys
owner				
Jerry				Jerry_Jones
Jones				Jerry_Jones
.				
				
`				
`				
Alex				Alex_Rodriguez
needs				
to				
buy				
this				
house				
,				
'				
'				
Ronda				
Needham				
,				
a				
listing				
agent				
,				
told				
The				
Dallas				
Morning				
News				
.				
				
The				
people				
who				
own				
this				
house				
set				
it				
up				
around				
their				
two				
baseball				
-				
playing				
sons				
.				
				
It				
'				
s				
a				
very				
sports				
-				
minded				
house				
.				
				
The				
Mets				New_York_Mets
,				
once				
considered				
the				
favorites				
to				
get				
Rodriguez				Alex_Rodriguez
,				
have				
slowed				
their				
chase				
.				
General				
manager				
Steve				Steve_Phillips
Phillips				Steve_Phillips
publicly				
criticized				
some				
of				
the				
demands				
supposedly				
made				
by				
Boras				Scott_Boras
.				
				
But				
the				
agent				
says				
Rodriguez				Alex_Rodriguez
is				
making				
no				
special				
demands				
.				
				
`				
`				
I				
can				
'				
t				
anticipate				
any				
change				
that				
would				
draw				
us				
back				
into				
it				
,				
'				
'				
Phillips				Steve_Phillips
said				
.				
				
LONDON				London
(				
AP				Associated_Press
)				
_				
After				
three				
defeats				
in				
the				
House				House_of_Lords
of				House_of_Lords
Lords				House_of_Lords
,				
Britain				United_Kingdom
'				
s				
Labor				Australian_Labor_Party
government				
resorted				
to				
rarely				
used				
powers				
Thursday				
to				
pass				
legislation				
lowering				
the				
age				
of				
consent				
for				
homosexuals				
from				
18				
to				
16				
.				
				
House				House_of_Commons_of_the_United_Kingdom
of				House_of_Commons_of_the_United_Kingdom
Commons				House_of_Commons_of_the_United_Kingdom
speaker				
Michael				Michael_Martin,_Baron_Martin_of_Springburn
Martin				Michael_Martin,_Baron_Martin_of_Springburn
said				
he				
was				
invoking				
the				
Parliament				Parliament_Act_(disambiguation)
Act				Parliament_Act_(disambiguation)
to				
force				
through				
a				
Sexual				
Offenses				
Bill				
that				
makes				
the				
age				
of				
consent				
the				
same				
for				
both				
homosexuals				
and				
heterosexuals				
.				
				
It				
became				
law				
after				
being				
given				
Royal				Royal_Assent
Assent				Royal_Assent
by				
Queen				
Elizabeth				Elizabeth_II
II				Elizabeth_II
.				
				
Lawmakers				
in				
the				
House				House_of_Commons_of_the_United_Kingdom
of				House_of_Commons_of_the_United_Kingdom
Commons				House_of_Commons_of_the_United_Kingdom
overwhelmingly				
approved				
the				
bill				
earlier				
this				
year				
,				
but				
the				
House				House_of_Lords
of				House_of_Lords
Lords				House_of_Lords
this				
month				
rejected				
it				
for				
the				
third				
time				
.				
				
The				
Lords				House_of_Lords
'				
powers				
,				
however				
,				
are				
limited				
to				
delaying				
legislation				
by				
blocking				
it				
and				
bouncing				
it				
back				
to				
the				
House				House_of_Commons_of_the_United_Kingdom
of				House_of_Commons_of_the_United_Kingdom
Commons				House_of_Commons_of_the_United_Kingdom
.				
				
The				
Parliament				Parliament_Act_(disambiguation)
Act				Parliament_Act_(disambiguation)
was				
created				
to				
ensure				
that				
the				
will				
of				
the				
country				
'				
s				
elected				
lawmakers				
prevails				
.				
				
The				
bill				
brings				
Britain				United_Kingdom
in				
line				
with				
most				
other				
European				European_Union
Union				European_Union
nations				
.				
				
`				
`				
It				
is				
a				
reform				
which				
,				
in				
my				
personal				
view				
,				
is				
long				
overdue				
and				
is				
only				
right				
for				
a				
country				
that				
has				
a				
history				
of				
reform				
and				
challenging				
prejudice				
,				
'				
'				
said				
Home				
Secretary				
Jack				Jack_Straw
Straw				Jack_Straw
,				
Britain				United_Kingdom
'				
s				
top				
law				
enforcement				
officer				
.				
				
`				
`				
This				
act				
will				
help				
us				
to				
build				
a				
safe				
,				
just				
and				
tolerant				
society				
,				
'				
'				
he				
added				
.				
				
Angela				
Mason				
,				
director				
of				
the				
gay				
rights				
group				
Stonewall				Stonewall_riots
,				
said				
Parliament				
'				
s				
action				
was				
`				
`				
a				
great				
step				
toward				
equality				
.				
'				
'				
				
`				
`				
When				
the				
history				
books				
come				
to				
be				
written				
I				
believe				
it				
will				
be				
seen				
as				
the				
moment				
when				
this				
country				
finally				
began				
to				
change				
,				
when				
lesbians				
and				
gay				
men				
started				
to				
take				
our				
place				
as				
equal				
members				
of				
society				
,				
'				
'				
she				
said				
.				
				
Peter				Peter_Tatchell
Tatchell				Peter_Tatchell
,				
of				
the				
group				
OutRage				Outrage_(2009_film)
!				
,				
said				
:				
`				
`				
This				
victory				
is				
a				
welcome				
and				
historic				
milestone				
in				
the				
long				
struggle				
for				
gay				
human				
rights				
.				
'				
'				
				
`				
`				
My				
only				
regret				
is				
that				
it				
has				
taken				
33				
years				
during				
which				
time				
hundreds				
of				
gay				
men				
have				
been				
unjustly				
jailed				
for				
victimless				
relationships				
.				
'				
'				
				
However				
,				
family				
values				
campaigner				
and				
Conservative				Conservative_Party_(UK)
ex				
-				
Leader				
of				
the				
Lords				
Baroness				Baroness_Young_(disambiguation)
Young				Baroness_Young_(disambiguation)
accused				
the				
government				
of				
behaving				
in				
a				
`				
`				
completely				
dictatorial				
manner				
'				
'				
toward				
Parliament				
.				
				
Straw				Jack_Straw
dismissed				
the				
criticism				
.				
				
`				
`				
In				
the				
circumstances				
I				
believe				
that				
the				
use				
of				
the				
Parliament				Parliament_Act_(disambiguation)
Act				Parliament_Act_(disambiguation)
in				
this				
case				
is				
proper				
and				
justified				
,				
'				
'				
he				
said				
.				
				
Five				
years				
ago				
,				
Parliament				
narrowly				
rejected				
lowering				
the				
age				
of				
consent				
for				
homosexuals				
to				
16				
,				
reducing				
it				
instead				
from				
21				
to				
18				
.				
				
Homosexual				
sex				
between				
adults				
ceased				
to				
be				
a				
crime				
in				
Britain				United_Kingdom
three				
decades				
ago				
.				
				
PHOENIX				Phoenix,_Arizona
(				
AP				
)				
_				
Boise				Boise_State_University
State				Boise_State_University
coach				
Dirk				
Koetter				
,				
who				
just				
a				
day				
earlier				
was				
reportedly				
headed				
for				
Oklahoma				Oklahoma_State_University–Stillwater
State				Oklahoma_State_University–Stillwater
,				
has				
agreed				
to				
a				
contract				
to				
coach				
Arizona				Arizona_State_University
State				Arizona_State_University
.				
				
Oklahoma				Oklahoma_State_University–Stillwater
State				Oklahoma_State_University–Stillwater
athletic				
director				
Terry				
Don				
Phillips				
confirmed				
Koetter				
'				
s				
decision				
in				
a				
news				
release				
issued				
Friday				
night				
.				
				
`				
`				
Coach				
Koetter				
informed				
me				
at				
approximately				
7				
p				
.				
m				
.				
(				
CST				
)				
tonight				
that				
he				
had				
been				
tendered				
an				
offer				
from				
Arizona				Arizona_State_University
State				Arizona_State_University
University				Arizona_State_University
and				
had				
accepted				
,				
'				
'				
Phillips				Phillips_(disambiguation)
said				
.				
				
Koetter				
,				
41				
,				
replaces				
Bruce				Bruce_Snyder
Snyder				Bruce_Snyder
,				
who				
was				
fired				
after				
nine				
seasons				
.				
				
Snyder				Bruce_Snyder
will				
coach				
Arizona				Arizona_State_University
State				Arizona_State_University
in				
a				
bowl				
game				
,				
most				
likely				
the				
Las				Las_Vegas_Bowl
Vegas				Las_Vegas_Bowl
Bowl				Las_Vegas_Bowl
.				
				
The				
Daily				The_Oklahoman
Oklahoman				The_Oklahoman
and				
several				
TV				Television
and				
radio				
stations				
in				
Oklahoma				Oklahoma
had				
reported				
Thursday				
and				
Friday				
that				
Koetter				
had				
accepted				
the				
Oklahoma				Oklahoma_State_University–Stillwater
State				Oklahoma_State_University–Stillwater
job				
.				
				
But				
Phillips				Phillips_(disambiguation)
never				
confirmed				
those				
reports				
,				
and				
Koetter				
would				
not				
comment				
on				
any				
job				
possibilities				
at				
Boise				Boise_State_University
State				Boise_State_University
'				
s				
practice				
Friday				
.				
				
Koetter				
said				
earlier				
in				
the				
week				
he				
had				
interviewed				
with				
Phillips				Phillips_(disambiguation)
and				
with				
Arizona				Arizona_State_University
State				Arizona_State_University
athletic				
director				
Gene				Gene_Smith_(disambiguation)
Smith				Gene_Smith_(disambiguation)
.				
				
Koetter				
is				
considered				
one				
of				
the				
country				
'				
s				
top				
young				
coaching				
prospects				
.				
				
Using				
an				
innovative				
,				
wide				
-				
open				
offense				
,				
he				
guided				
Boise				Boise_State_Broncos_football
State				Boise_State_Broncos_football
to				
a				
25				
-				
10				
record				
in				
three				
seasons				
.				
				
His				
first				
team				
went				
6				
-				
5				
,				
followed				
by				
last				
year				
'				
s				
10				
-				
3				
record				
,				
which				
included				
a				
34				
-				
31				
victory				
over				
Louisville				Louisville,_Kentucky
in				
the				
Humanitarian				Famous_Idaho_Potato_Bowl
Bowl				Famous_Idaho_Potato_Bowl
.				
				
This				
year				
'				
s				
team				
is				
9				
-				
2				
,				
with				
its				
only				
losses				
38				
-				
31				
at				
Arkansas				Arkansas
and				
42				
-				
25				
at				
Washington				Washington_State_University
State				Washington_State_University
.				
				
Koetter				
may				
not				
have				
been				
Arizona				Arizona_State_University
State				Arizona_State_University
'				
s				
top				
choice				
.				
				
Phoenix				Phoenix,_Arizona
radio				
station				
KMVP				KTAR_(AM)
reported				
Friday				
that				
Smith				Smith_(disambiguation)
had				
quietly				
been				
working				
on				
a				
deal				
with				
TCU				Texas_Christian_University
coach				
Dennis				Dennis_Franchione
Franchione				Dennis_Franchione
that				
would				
have				
matched				
the				
one				
offered				
by				
Alabama				Alabama
.				
				
But				
Franchione				Dennis_Franchione
apparently				
couldn				
'				
t				
resist				
the				
lure				
of				
one				
of				
college				
football				
'				
s				
most				
storied				
programs				
.				
				
While				
most				
of				
the				
recent				
speculation				
centered				
on				
Koetter				
,				
there				
was				
pressure				
from				
some				
Arizona				Arizona_State_University
State				Arizona_State_University
boosters				
to				
hire				
Danny				Danny_White_(disambiguation)
White				Danny_White_(disambiguation)
,				
the				
former				
Arizona				Arizona_State_University
State				Arizona_State_University
and				
Dallas				Dallas_Cowboys
Cowboys				Dallas_Cowboys
quarterback				
who				
coaches				
the				
Arizona				Arizona_Rattlers
Rattlers				Arizona_Rattlers
of				
the				
Arena				Arena_Football_League
Football				Arena_Football_League
League				Arena_Football_League
.				
				
Snyder				Bruce_Snyder
was				
fired				
after				
his				
teams				
went				
6				
-				
6				
last				
year				
and				
6				
-				
5				
this				
season				
.				
				
WHITE				White_Sulphur_Springs_(disambiguation)
SULPHUR				White_Sulphur_Springs_(disambiguation)
SPRINGS				White_Sulphur_Springs_(disambiguation)
,				
W				
.				
Va				
.				
(				
AP				
)				
_				
Republican				Republican_Party_(United_States)
Rep				Republican_Party_(United_States)
.				
J				
.				
C				
.				
Watts				Watts,_Los_Angeles
joked				
Saturday				
night				
that				
he				
had				
revised				
returns				
on				
the				
presidential				
election				
:				
`				
`				
Al				Al_Gore
Gore				Al_Gore
,				
9,834				
lawsuits				
.				
George				George_W._Bush
W				George_W._Bush
.				
Bush				George_W._Bush
,				
7,652				
.				
'				
'				
				
Watts				Watts,_Los_Angeles
,				
chairman				
of				
the				
House				Republican_Conference_Chairman_of_the_United_States_House_of_Representatives
Republican				Republican_Conference_Chairman_of_the_United_States_House_of_Representatives
Conference				Republican_Conference_Chairman_of_the_United_States_House_of_Representatives
,				
bantered				
about				
the				
Florida				Florida
election				
dispute				
in				
a				
speech				
prepared				
for				
a				
dinner				
of				
The				
Gridiron				
Club				
at				
the				
Greenbrier				The_Greenbrier
Hotel				The_Greenbrier
.				
				
`				
`				
I				
knew				
things				
had				
really				
deteriorated				
when				
Yasser				Yasser_Arafat
Arafat				Yasser_Arafat
offered				
to				
broker				
a				
peace				
between				
Bush				George_W._Bush
and				
Gore				Al_Gore
,				
'				
'				
Watts				Watts,_Los_Angeles
said				
.				
				
The				
Gridiron				
Club				
is				
an				
organization				
of				
60				
Washington				Washington,_D.C.
journalists				
.				
				
Its				
dinners				
feature				
parodies				
of				
politics				
and				
government				
,				
and				
humorous				
speeches				
by				
political				
figures				
.				
				
Watts				Watts,_Los_Angeles
noted				
that				
the				
presidential				
election				
of				
1876				
was				
so				
disputed				
that				
a				
congressional				
commission				
was				
created				
to				
settle				
it				
.				
				
`				
`				
I				
didn				
'				
t				
know				
this				
until				
Strom				Strom_Thurmond
Thurmond				Strom_Thurmond
told				
me				
he				
cast				
the				
deciding				
vote				
.				
				
`				
`				
Strom				Strom_Thurmond
will				
be				
98				
next				
Tuesday				
,				
'				
'				
Watts				Watts,_Los_Angeles
said				
.				
				
`				
`				
Of				
course				
,				
he				
was				
only				
67				
when				
the				
recount				
of				
Florida				Florida
ballots				
began				
.				
'				
'				
				
Watts				Watts_(disambiguation)
said				
he				
had				
fond				
memories				
of				
Florida				Florida
because				
he				
was				
the				
quarterback				
when				
the				
University				University_of_Oklahoma
of				University_of_Oklahoma
Oklahoma				University_of_Oklahoma
won				
the				
Orange				Miami_Orange_Bowl
Bowl				Miami_Orange_Bowl
there				
in				
1980				
and				
1981				
.				
				
`				
`				
But				
our				
victory				
in				
'				
81				
was				
by				
a				
single				
point				
and				
it				
was				
weeks				
before				
it				
was				
confirmed				
,				
'				
'				
he				
said				
.				
				
`				
`				
By				
the				
way				
,				
I				
recently				
learned				
Al				Al_Gore
Gore				Al_Gore
was				
pulling				
for				
Florida				Florida_State_University
State				Florida_State_University
and				
demanded				
a				
recount				
.				
'				
'				
				
As				
is				
traditional				
in				
Gridiron				Gridiron_football
speeches				
,				
Watts				Watts,_Los_Angeles
concluded				
on				
a				
serious				
note				
.				
				
`				
`				
Once				
-				
in				
-				
a				
-				
century				
oddities				
may				
leave				
an				
election				
result				
up				
in				
the				
air				
for				
a				
time				
,				
but				
the				
fundamental				
strength				
of				
our				
democracy				
is				
never				
in				
doubt				
,				
'				
'				
he				
said				
.				
				
`				
`				
Better				
a				
process				
driven				
by				
an				
army				
of				
lawyers				
than				
an				
outrage				
led				
by				
an				
army				
with				
guns				
,				
'				
'				
he				
said				
.				
				
WASHINGTON				Washington,_D.C.
(				
AP				Associated_Press
)				
_				
Fossil				
remains				
of				
a				
120				
million				
-				
year				
-				
old				
bird				
with				
unique				
feathers				
cast				
doubt				
on				
the				
theory				
of				
birds				
evolving				
from				
dinosaurs				
,				
some				
experts				
say				
,				
but				
others				
disagree				
.				
				
Two				
Chinese				China
researchers				
report				
that				
a				
fossil				
called				
Protopteryx				
_				
from				
a				
group				
of				
flying				
animals				
called				
Enantiornithine				
_				
includes				
feathers				
that				
are				
different				
from				
those				
of				
all				
other				
known				
fossil				
and				
modern				
feathers				
.				
				
Fucheng				
Zhang				
and				
Zhonghe				
Zhou				
of				
the				
Chinese				Chinese_Academy_of_Sciences
