Bandar B-Bandar_Seri_Begawan B-Bandar_Seri_Begawan
led O O
it O O
in O O
the O O
Continents O O
Championship O O
hosted O O
by O O
Mexico B-Mexico B-Mexico
in O O
July O O
of O O
that O O
year O O
. O O
Machala O O
is O O
considered O O
one O O
of O O
the O O
best-known O O
coaches O O
in O O
the O O
Gulf O O
region O O
and O O
has O O
achieved O O
remarkable O O
results O O
with O O
the O O
Kuwaiti O O
team O O
, O O
which O O
he O O
led O O
to O O
win O O
the O O
Gulf O O
Cup O O
on O O
two O O
occasions O O
and O O
to O O
take O O
fourth O O
place O O
in O O
the O O
last O O
Asian O O
Nations O O
Championship O O
in O O
the O O
Emirates O O
, O O
as O O
well O O
as O O
second O O
place O O
in O O
the O O
Asian O O
Games O O
in O O
Bangkok B-Bangkok B-Bangkok
in O O
late O O
1998 O O
. O O
DOCEND O O
I O O
am O O
David O O
Coler O O
, O O
VOA B-Voice_of_America B-Voice_of_America
News I-Voice_of_America I-Voice_of_America
. O O
President O O
Elect O O
George O O
W O O
Bush O O
made O O
more O O
cabinet O O
appointments O O
Wednesday O O
. O O
He O O
named O O
Al O O
Koha O O
Chairman O O
Paul O O
O O O
' O O
Neil O O
as O O
Treasury O O
Secretary O O
and O O
former O O
California O O
Food O O
and O O
Agriculture O O
Secretary O O
, O O
Anne O O
Venemon O O
as O O
Secretary O O
of O O
Agriculture O O
. O O
He O O
also O O
named O O
an O O
old O O
friend O O
, O O
an O O
oil O O
business O O
associate O O
, O O
Don O O
Evans O O
as O O
Secretary O O
of O O
Commerce O O
. O O
The O O
promotion O O
of O O
free O O
enterprise O O
first O O
in O O
America B-United_States B-United_States
and O O
then O O
abroad O O
will O O
be O O
our O O
first O O
priority O O
. O O
Free O O
flow O O
of O O
capital O O
, O O
free O O
and O O
open O O
competition O O
. O O
We O O
will O O
strive O O
to O O
be O O
an O O
advocate O O
for O O
US O O
businesses O O
first O O
in O O
America O O
and O O
also O O
those O O
wading O O
into O O
the O O
waters O O
of O O
the O O
global O O
market O O
place O O
. O O
Mr. O O
Bush O O
also O O
named O O
former O O
Cuban O O
refugee O O
Mel O O
Martinez O O
as O O
Secretary O O
of O O
Housing O O
and O O
Urban O O
Development O O
. O O
Mr. O O
Martinez O O
is O O
a O O
close O O
political O O
ally O O
of O O
the O O
President O O
Elect O O
's O O
brother O O
, O O
Florida O O
Governor O O
Jeb O O
Bush O O
. O O
Mr. O O
Bush O O
says O O
he O O
will O O
step O O
down O O
Thursday O O
as O O
Governor O O
of O O
Texas B-Texas B-Texas
. O O
DOCEND O O
Xinhua B-Xinhua_News_Agency B-Xinhua_News_Agency
News I-Xinhua_News_Agency I-Xinhua_News_Agency
Agency I-Xinhua_News_Agency I-Xinhua_News_Agency
, O O
Shanghai B-Shanghai B-Shanghai
, O O
April O O
3rd O O
, O O
by O O
reporter O O
Jierong O O
Zhou O O
Recently O O
, O O
HSBC B-HSBC B-HSBC
has O O
moved O O
its O O
Shanghai O O
branch O O
to O O
the O O
China B-International_Ocean_Shipping_Building O
Shipping I-International_Ocean_Shipping_Building O
Mansion I-International_Ocean_Shipping_Building O
in O O
the O O
Pudong O O
Lujiazui O O
financial O O
trading O O
district O O
, O O
becoming O O
the O O
third O O
foreign O O
capital O O
bank O O
to O O
be O O
approved O O
to O O
operate O O
RMB O O
business O O
and O O
shift O O
to O O
Pudong B-Pudong B-Pudong
. O O
At O O
the O O
moment O O
, O O
Shanghai O O
already O O
has O O
8 O O
foreign O O
capital O O
banks O O
approved O O
to O O
operate O O
RMB O O
business O O
. O O
They O O
are O O
the O O
US B-United_States B-United_States
's O O
Citibank B-Citibank B-Citibank
, O O
Hong B-Hong_Kong B-Hong_Kong
Kong I-Hong_Kong I-Hong_Kong
's O O
HSBC O O
, O O
Japan B-Japan B-Japan
's O O
Tokyo B-The_Bank_of_Tokyo-Mitsubishi_UFJ B-The_Bank_of_Tokyo-Mitsubishi_UFJ
Mitsubishi I-The_Bank_of_Tokyo-Mitsubishi_UFJ I-The_Bank_of_Tokyo-Mitsubishi_UFJ
Bank I-The_Bank_of_Tokyo-Mitsubishi_UFJ I-The_Bank_of_Tokyo-Mitsubishi_UFJ
, O O
Japan O O
's O O
Industrial O O
Bank O O
, O O
the O O
Shanghai O O
Branch O O
of O O
the O O
Standard O O
and O O
Chartered O O
Bank O O
, O O
Shanghai O O
's O O
BNP O O
Paris O O
Bank O O
, O O
the O O
Shanghai O O
Branch O O
of O O
Japan O O
's O O
Dai-Ichi O O
Kangyo O O
Bank O O
and O O
the O O
Shanghai O O
Branch O O
of O O
Japan O O
's O O
Sanwa O O
Bank O O
. O O
According O O
to O O
regulations O O
, O O
these O O
8 O O
banks O O
will O O
all O O
move O O
to O O
Pudong O O
soon O O
. O O
After O O
the O O
policy O O
was O O
formally O O
announced O O
for O O
the O O
Pudong O O
Lujiazui O O
Financial O O
Trade O O
District O O
to O O
allow O O
foreign O O
capital O O
banks O O
to O O
operate O O
RMB O O
business O O
, O O
more O O
than O O
40 O O
foreign O O
capital O O
banks O O
and O O
financial O O
institutions O O
have O O
submitted O O
applications O O
to O O
establish O O
branches O O
in O O
Pudong O O
. O O
When O O
selecting O O
locations O O
in O O
Lujiazui O O
, O O
some O O
foreign O O
financial O O
institutions O O
do O O
not O O
mind O O
the O O
real O O
estate O O
prices O O
, O O
but O O
focus O O
more O O
on O O
whether O O
the O O
class O O
of O O
the O O
building O O
is O O
compatible O O
with O O
the O O
standing O O
of O O
the O O
company O O
. O O
The O O
Franklin O O
Templeton O O
Company O O
, O O
whose O O
headquarters O O
are O O
in O O
California O O
, O O
the O O
US O O
, O O
and O O
has O O
registered O O
capital O O
of O O
130 O O
billion O O
US O O
dollars O O
all O O
around O O
the O O
world O O
, O O
decided O O
to O O
establish O O
its O O
local O O
China O O
headquarters O O
in O O
Pudong O O
. O O
The O O
president O O
of O O
the O O
company O O
and O O
the O O
Asian O O
regional O O
president O O
personally O O
surveyed O O
Pudong O O
and O O
decided O O
to O O
choose O O
office O O
locations O O
in O O
the O O
Shanghai O O
Securities O O
Building O O
, O O
which O O
has O O
a O O
floor O O
rate O O
of O O
more O O
than O O
2700 O O
US O O
dollars O O
per O O
square O O
meter O O
. O O
Now O O
, O O
the O O
Templeton O O
Company O O
has O O
formally O O
signed O O
a O O
contract O O
, O O
and O O
bought O O
the O O
floor O O
area O O
of O O
the O O
entire O O
18th O O
floor O O
of O O
the O O
Securities O O
Building O O
. O O
Currently O O
, O O
foreign-capital O O
banks O O
and O O
financial O O
institutions O O
such O O
as O O
Hong O O
Kong O O
's O O
HSBC O O
, O O
the O O
Shanghai O O
Branch O O
of O O
the O O
Japan O O
Industrial O O
Bank O O
, O O
the O O
Holland O O
Co-operation O O
Bank O O
, O O
Shanghai O O
Branch O O
of O O
the O O
Belgium O O
Credit O O
Bank O O
, O O
etc. O O
, O O
have O O
successively O O
settled O O
down O O
in O O
the O O
Lujiazui O O
Financial O O
Trading O O
District O O
. O O
Soon O O
, O O
a O O
large O O
number O O
of O O
domestic O O
and O O
foreign O O
financial O O
institutions O O
, O O
and O O
large O O
companies O O
will O O
also O O
come O O
to O O
successively O O
settle O O
down O O
, O O
including O O
the O O
finance O O
street O O
which O O
has O O
already O O
formed O O
in O O
the O O
Waitan O O
district O O
, O O
and O O
the O O
Shanghai O O
central O O
commercial O O
district O O
framework O O
that O O
is O O
forming O O
. O O
( O O
End O O
) O O
DOCEND O O
Albus O O
( O O
Lebanon B-Lebanon B-Lebanon
) O O
11-15 O O
( O O
AFP B-Agence_France-Presse O
) O O
- O O
Thousands O O
of O O
Palestinian O O
refugees O O
in O O
Lebanon O O
commemorated O O
in O O
their O O
camps O O
today O O
Wednesday O O
the O O
twelfth O O
anniversary O O
of O O
the O O
symbolic O O
announcement O O
of O O
independence O O
by O O
the O O
Palestinian B-Palestinian_National_Council B-Palestinian_National_Council
National I-Palestinian_National_Council I-Palestinian_National_Council
Council I-Palestinian_National_Council I-Palestinian_National_Council
in O O
Algeria B-Algeria B-Algeria
in O O
1988 O O
. O O
Around O O
five O O
thousand O O
Palestinians O O
form O O
the O O
Albus O O
Camp O O
near O O
Souer B-Tyre,_Lebanon B-Piet_Souer
( O O
83 O O
km O O
south O O
of O O
Beirut B-Beirut B-Beirut
) O O
gathered O O
and O O
followed O O
a O O
march O O
by O O
children O O
dressed O O
in O O
military O O
clothing O O
who O O
held O O
stones O O
and O O
raised O O
pictures O O
of O O
Mohamed B-Muhammad_al-Durrah_incident B-Muhammad_al-Durrah_incident
al-Dura I-Muhammad_al-Durrah_incident I-Muhammad_al-Durrah_incident
, O O
the O O
12-year-old O O
Palestinian O O
child O O
killed O O
by O O
Israeli O O
army O O
bullets O O
in O O
the O O
Palestinian O O
Territories O O
in O O
early O O
October O O
. O O
A O O
France O O
Presse O O
correspondent O O
reported O O
that O O
around O O
200 O O
Palestinians O O
marched O O
along O O
the O O
streets O O
of O O
Ayn O O
Alhilwa O O
refugee O O
camp O O
near O O
Saida B-Sidon B-Sidon
, O O
one O O
of O O
southern O O
Lebanon B-Lebanon B-Lebanon
's O O
main O O
cities O O
, O O
toward O O
the O O
headquarters O O
of O O
the O O
Fatah O O
movement O O
led O O
by O O
Palestinian O O
President O O
Yasser O O
Arafat O O
carrying O O
the O O
Palestinian O O
flag O O
. O O
A O O
group O O
of O O
young O O
people O O
burned O O
the O O
Israeli O O
and O O
American O O
flags O O
outside O O
the O O
headquarters O O
. O O
Khalid O O
Arif O O
, O O
am O O
official O O
with O O
the O O
Fatah O O
movement O O
in O O
Saida O O
, O O
said O O
the O O
Intifada O O
against O O
Israel O O
which O O
started O O
late O O
last O O
September O O
and O O
has O O
resulted O O
in O O
over O O
two O O
hundred O O
deaths O O
would O O
`` O O
continue O O
until O O
the O O
Israeli O O
occupiers O O
and O O
settlers O O
were O O
chased O O
out O O
of O O
the O O
Palestinian O O
Territories O O
. O O
'' O O
He O O
added O O
, O O
`` O O
The O O
Intifada O O
will O O
continue O O
until O O
a O O
Palestinian O O
state O O
with O O
holy O O
Jerusalem B-Jerusalem B-Jerusalem
as O O
its O O
capital O O
is O O
created O O
and O O
the O O
refugees O O
return O O
to O O
their O O
homes O O
. O O
'' O O
In O O
the O O
nearby O O
Ayn O O
Alhilwa O O
refugee O O
camp O O
, O O
students O O
between O O
ages O O
fifteen O O
and O O
sixteen O O
marched O O
through O O
the O O
camp O O
's O O
alleyways O O
, O O
chanting O O
`` O O
Jerusalem O O
is O O
ours O O
'' O O
then O O
the O O
burned O O
Israeli O O
and O O
American O O
flags O O
. O O
Fatah O O
movement O O
called O O
on O O
Palestinians O O
to O O
declare O O
today O O
Wednesday O O
as O O
a O O
day O O
`` O O
to O O
embody O O
national O O
independence O O
'' O O
and O O
to O O
stop O O
`` O O
Israeli O O
occupying O O
forces O O
and O O
settler O O
bandits O O
from O O
entering O O
occupied O O
Palestinian O O
territory O O
, O O
'' O O
as O O
a O O
commemoration O O
of O O
the O O
twelfth O O
anniversary O O
of O O
the O O
symbolic O O
announcement O O
of O O
Palestinian O O
independence O O
. O O
Palestinian O O
President O O
Yasser O O
Arafat O O
had O O
symbolically O O
announced O O
a O O
Palestinian O O
state O O
on O O
November O O
15 O O
, O O
1988 O O
in O O
Algeria O O
when O O
the O O
first O O
Palestinian O O
Intifada O O
was O O
at O O
its O O
height O O
and O O
which O O
continued O O
for O O
seven O O
years O O
until O O
the O O
Oslo O O
peace O O
accords O O
were O O
signed O O
in O O
1993 O O
. O O
DOCEND O O
From O O
BBC B-BBC_News B-BBC_News
News I-BBC_News I-BBC_News
in O O
London B-London B-London
, O O
I O O
am O O
Gregor O O
Cragy O O
for O O
The O O
World O O
. O O
The O O
US B-Supreme_Court_of_the_United_States B-Supreme_Court_of_the_United_States
Supreme I-Supreme_Court_of_the_United_States I-Supreme_Court_of_the_United_States
Court I-Supreme_Court_of_the_United_States I-Supreme_Court_of_the_United_States
has O O
held O O
a O O
hearing O O
to O O
decide O O
whether O O
to O O
intervene O O
in O O
the O O
dispute O O
over O O
the O O
presidential O O
election O O
results O O
. O O
Judith O O
Spencer O O
reports O O
on O O
the O O
legal O O
wrangling O O
that O O
is O O
underway O O
. O O
Inside O O
the O O
stately O O
Supreme O O
Court O O
building O O
, O O
lawyers O O
for O O
Republican O O
George O O
W. O O
Bush O O
and O O
Democrat O O
AL O O
Gore O O
argued O O
over O O
the O O
validity O O
of O O
hand O O
re-counts O O
in O O
the O O
crucial O O
state O O
of O O
Florida O O
, O O
just O O
as O O
Ruth B-Ruth_Bader_Ginsburg O
Bater I-Ruth_Bader_Ginsburg O
Ginsburg I-Ruth_Bader_Ginsburg O
pressed O O
Bush O O
's O O
lawyer O O
to O O
explain O O
why O O
the O O
Federal O O
High O O
Court O O
should O O
intervene O O
in O O
the O O
Florida B-Supreme_Court_of_Florida B-Supreme_Court_of_Florida
Supreme I-Supreme_Court_of_Florida I-Supreme_Court_of_Florida
Court I-Supreme_Court_of_Florida I-Supreme_Court_of_Florida
's O O
move O O
to O O
extend O O
the O O
deadline O O
for O O
finishing O O
the O O
re-counts O O
. O O
When O O
we O O
read O O
a O O
State O O
court O O
decision O O
, O O
we O O
should O O
read O O
it O O
in O O
the O O
light O O
most O O
favorable O O
to O O
the O O
integrity O O
of O O
the O O
State O O
Supreme O O
Court O O
. O O
But O O
later O O
on O O
, O O
Justice O O
Sandra B-Sandra_Day_O'Connor B-Sandra_Day_O'Connor
Day I-Sandra_Day_O'Connor I-Sandra_Day_O'Connor
O'Connor I-Sandra_Day_O'Connor I-Sandra_Day_O'Connor
suggested O O
the O O
State O O
court O O
might O O
have O O
been O O
out O O
of O O
line O O
. O O
The O O
legislature O O
had O O
very O O
clearly O O
said O O
, O O
you O O
know O O
, O O
7 O O
days O O
after O O
, O O
that O O
's O O
the O O
date O O
and O O
it O O
just O O
does O O
look O O
like O O
very O O
dramatic O O
change O O
made O O
by O O
the O O
Florida O O
court O O
. O O
The O O
US O O
Supreme O O
Court O O
could O O
rule O O
on O O
the O O
matter O O
as O O
early O O
as O O
tomorrow O O
. O O
For O O
The O O
World O O
, O O
I O O
am O O
Judith O O
Spencer O O
in O O
Washington B-Washington,_D.C. B-Washington,_D.C.
. O O
Meanwhile O O
, O O
the O O
Florida O O
Supreme O O
Court O O
has O O
rejected O O
an O O
emergency O O
appeal O O
from O O
Al O O
Gore O O
for O O
an O O
immediate O O
re-count O O
of O O
thousands O O
of O O
disputed O O
ballots O O
from O O
Palm O O
Beach O O
and O O
Miami O O
Dade O O
counties O O
. O O
DOCEND O O
Bandar B-Bandar_Seri_Begawan B-Bandar_Seri_Begawan
Seri I-Bandar_Seri_Begawan I-Bandar_Seri_Begawan
Begawan I-Bandar_Seri_Begawan I-Bandar_Seri_Begawan
11-15 O O
( O O
AFP B-Agence_France-Presse B-Agence_France-Presse
) O O
- O O
A O O
high-level O O
American O O
official O O
announced O O
today O O
Wednesday O O
in O O
the O O
wake O O
of O O
the O O
meeting O O
between O O
American O O
President O O
Bill O O
Clinton O O
and O O
his O O
Russian O O
counterpart O O
Vladimir O O
Putin O O
that O O
Putin O O
's O O
proposals O O
on O O
reducing O O
the O O
Russian O O
and O O
American O O
nuclear O O
capability O O
to O O
under O O
1500 O O
nuclear O O
heads O O
does O O
not O O
include O O
`` O O
many O O
new O O
elements O O
. O O
'' O O
The O O
official O O
who O O
wished O O
to O O
remain O O
anonymous O O
confirmed O O
`` O O
we O O
have O O
paid O O
a O O
great O O
deal O O
of O O
attention O O
to O O
President O O
Putin O O
's O O
announcement O O
but O O
it O O
does O O
not O O
contain O O
many O O
new O O
elements O O
, O O
in O O
fact O O
just O O
a O O
few O O
new O O
disparities O O
which O O
require O O
further O O
examination O O
and O O
discussion O O
by O O
experts O O
. O O
'' O O
Clinton O O
and O O
Putin O O
are O O
taking O O
part O O
in O O
the O O
Asia-Pacific O O
Economic O O
Cooperation O O
( O O
APEC O O
) O O
forum O O
in O O
Bandar O O
Seri O O
Begawan O O
the O O
capital O O
of O O
the O O
Sultanate B-Brunei B-Sultan
of I-Brunei O
Brunei I-Brunei B-Brunei
. O O
The O O
presidents O O
met O O
for O O
a O O
working O O
lunch O O
of O O
around O O
75 O O
minutes O O
. O O
The O O
American O O
official O O
stressed O O
that O O
what O O
is O O
important O O
in O O
Putin O O
's O O
proposal O O
is O O
that O O
it O O
falls O O
within O O
the O O
`` O O
framework O O
adopted O O
by O O
the O O
United O O
States O O
and O O
Russia O O
to O O
discuss O O
strategic O O
issues O O
from O O
a O O
defensive O O
and O O
offensive O O
point O O
of O O
view O O
. O O
'' O O
Putin O O
proposed O O
limiting O O
the O O
Russian O O
and O O
American O O
nuclear O O
capabilities O O
by O O
reducing O O
the O O
number O O
of O O
nuclear O O
heads O O
to O O
under O O
1500 O O
each O O
, O O
a O O
smaller O O
number O O
than O O
that O O
in O O
the O O
Russian-American O O
Start-3 O O
treaty O O
currently O O
being O O
negotiated O O
. O O
He O O
proposed O O
that O O
the O O
current O O
reduction O O
should O O
be O O
between O O
2500 O O
to O O
2000 O O
nuclear O O
heads O O
. O O
Putin O O
said O O
this O O
reduction O O
would O O
depend O O
on O O
compliance O O
with O O
the O O
Russian-American O O
anti-ABM O O
missile O O
treaty O O
signed O O
in O O
1972 O O
, O O
which O O
the O O
Americans O O
are O O
attempting O O
to O O
amend O O
to O O
set O O
up O O
anti- O O
missile O O
defenses O O
( O O
NMD O O
) O O
. O O
Washington O O
has O O
so O O
far O O
confirmed O O
agreeing O O
to O O
the O O
2000 O O
to O O
2500 O O
nuclear O O
warhead O O
ceiling O O
. O O
The O O
United O O
States O O
has O O
not O O
taken O O
a O O
final O O
position O O
on O O
the O O
NMD O O
system O O
because O O
Clinton O O
, O O
whose O O
term O O
ends O O
in O O
January O O
, O O
is O O
leaving O O
the O O
decision O O
in O O
this O O
matter O O
to O O
his O O
successor O O
. O O
In O O
response O O
to O O
a O O
question O O
about O O
Republican O O
presidential O O
candidate O O
George O O
Bush O O
Junior O O
's O O
approach O O
to O O
deploying O O
the O O
NMD O O
system O O
, O O
more O O
ambitious O O
than O O
the O O
one O O
proposed O O
by O O
the O O
Clinton O O
administration O O
, O O
the O O
American O O
official O O
said O O
the O O
United O O
States O O
would O O
continue O O
`` O O
complying O O
with O O
the O O
present O O
framework O O
'' O O
in O O
these O O
strategic O O
discussions O O
. O O
He O O
added O O
`` O O
while O O
this O O
framework O O
does O O
not O O
reflect O O
the O O
basic O O
interests O O
of O O
the O O
United O O
States O O
, O O
we O O
feel O O
it O O
is O O
still O O
a O O
valid O O
approach O O
in O O
our O O
discussions O O
with O O
Russia O O
on O O
this O O
matter O O
. O O
'' O O
He O O
also O O
said O O
that O O
Clinton O O
raised O O
the O O
issue O O
of O O
the O O
transfer O O
of O O
sensitive O O
Russian O O
technology O O
to O O
Iran B-Iran B-Iran
, O O
adding O O
`` O O
President O O
Putin O O
has O O
expressed O O
his O O
agreement O O
that O O
these O O
are O O
real O O
threats O O
and O O
is O O
strongly O O
committed O O
to O O
limiting O O
this O O
, O O
but O O
there O O
is O O
still O O
a O O
lot O O
of O O
work O O
to O O
do O O
'' O O
in O O
this O O
area O O
. O O
Clinton O O
also O O
touched O O
on O O
the O O
matter O O
of O O
American O O
Edmond O O
Bob O O
who O O
is O O
being O O
tried O O
in O O
a O O
closed O O
court O O
in O O
Russia O O
on O O
charges O O
of O O
spying O O
. O O
The O O
United O O
States O O
believes O O
he O O
is O O
innocent O O
of O O
these O O
charges O O
and O O
is O O
demanding O O
his O O
release O O
on O O
humanitarian O O
grounds O O
. O O
The O O
official O O
said O O
Putin O O
understands O O
our O O
concern O O
and O O
we O O
hope O O
he O O
will O O
do O O
something O O
as O O
quickly O O
as O O
possible O O
. O O
'' O O
DOCEND O O
ECONOMISTS O O
&LR; O O
&QL; O O
&UR; O O
By O O
MARK O O
LANDLER O O
&LR; O O
&QC; O O
&QL; O O
&UR; O O
c. O O
2000 O O
N.Y. O O
Times O O
News O O
Service O O
&LR; O O
&QC; O O
&QL; O O
HONG B-Hong_Kong B-Hong_Kong
KONG I-Hong_Kong I-Hong_Kong
_ O O
For O O
most O O
of O O
this O O
year O O
, O O
Asia B-Asia B-Asia
's O O
economies O O
have O O
performed O O
a O O
sort O O
of O O
levitating O O
act O O
_ O O
growing O O
by O O
double-digit O O
rates O O
month O O
after O O
month O O
even O O
as O O
economists O O
predicted O O
they O O
would O O
fall O O
to O O
earth O O
. O O
That O O
dichotomy O O
was O O
on O O
vivid O O
display O O
here O O
Friday O O
: O O
Hong O O
Kong O O
reported O O
that O O
its O O
economic O O
output O O
surged O O
10.4 O O
percent O O
in O O
the O O
third O O
quarter O O
, O O
and O O
it O O
raised O O
its O O
projection O O
for O O
full-year O O
growth O O
to O O
10 O O
percent O O
from O O
8.5 O O
percent O O
. O O
Yet O O
a O O
block O O
away O O
, O O
the O O
International B-International_Monetary_Fund B-International_Monetary_Fund
Monetary I-International_Monetary_Fund I-International_Monetary_Fund
Fund I-International_Monetary_Fund I-International_Monetary_Fund
warned O O
in O O
a O O
news O O
conference O O
that O O
Asian O O
economies O O
could O O
be O O
hit O O
hard O O
by O O
soaring O O
oil O O
prices O O
and O O
turmoil O O
in O O
the O O
financial O O
markets O O
. O O
The O O
IMF O O
said O O
a O O
$ O O
5 O O
increase O O
in O O
the O O
price O O
of O O
a O O
barrel O O
of O O
oil O O
could O O
slow O O
the O O
growth O O
rates O O
of O O
Asian O O
countries O O
next O O
year O O
. O O
`` O O
The O O
prospects O O
for O O
growth O O
in O O
2001 O O
have O O
weakened O O
, O O
'' O O
said O O
David O O
Robinson O O
, O O
assistant O O
director O O
of O O
research O O
at O O
the O O
fund O O
. O O
`` O O
There O O
has O O
also O O
been O O
increased O O
political O O
instability O O
across O O
the O O
world O O
, O O
not O O
least O O
in O O
Asia O O
. O O
'' O O
Several O O
Asian O O
countries O O
_ O O
notably O O
the O O
Philippines B-Philippines B-Philippines
, O O
Taiwan B-Taiwan B-Taiwan
, O O
and O O
Indonesia B-Indonesia B-Indonesia
_ O O
have O O
been O O
gripped O O
by O O
political O O
tumult O O
in O O
recent O O
weeks O O
. O O
The O O
Philippines O O
president O O
, O O
Joseph O O
Estrada O O
, O O
was O O
impeached O O
last O O
week O O
, O O
while O O
Chen B-Chen_Shui-bian B-Chen_Shui-bian
Shui-bian I-Chen_Shui-bian I-Chen_Shui-bian
, O O
the O O
president O O
of O O
Taiwan O O
, O O
is O O
trying O O
to O O
fend O O
off O O
a O O
recall O O
vote O O
. O O
Even O O
in O O
more O O
stable O O
countries O O
, O O
like O O
Malaysia B-Malaysia B-Malaysia
and O O
South B-South_Korea B-South_Korea
Korea I-South_Korea I-South_Korea
, O O
Robinson O O
said O O
the O O
Fund O O
was O O
concerned O O
by O O
the O O
haphazard O O
pace O O
of O O
economic O O
reforms O O
. O O
In O O
many O O
countries O O
, O O
the O O
banks O O
and O O
corporations O O
remain O O
financially O O
shaky O O
. O O
`` O O
We O O
're O O
still O O
seeing O O
chaebols O O
in O O
deep O O
trouble O O
, O O
'' O O
he O O
said O O
, O O
referring O O
to O O
Korea O O
's O O
heavily O O
indebted O O
conglomerates O O
. O O
But O O
Robinson O O
acknowledged O O
that O O
these O O
weaknesses O O
had O O
not O O
yet O O
been O O
reflected O O
in O O
the O O
economic O O
performance O O
of O O
the O O
countries O O
. O O
On O O
Tuesday O O
, O O
South O O
Korea O O
reported O O
a O O
9.2 O O
percent O O
increase O O
in O O
its O O
third-quarter O O
output O O
_ O O
beating O O
the O O
estimates O O
of O O
most O O
analysts O O
and O O
extending O O
a O O
string O O
of O O
powerful O O
quarters O O
. O O
Indonesia O O
, O O
Malaysia O O
, O O
and O O
Singapore B-Singapore B-Singapore
have O O
also O O
beaten O O
expectations O O
, O O
while O O
Hong O O
Kong O O
's O O
growth O O
rate O O
was O O
nearly O O
three O O
percentage O O
points O O
above O O
a O O
median O O
forecast O O
of O O
12 O O
economists O O
surveyed O O
by O O
Bloomberg B-Bloomberg_News B-Bloomberg_Television
News I-Bloomberg_News I-Bloomberg_Television
. O O
Like O O
other O O
Asian O O
economies O O
, O O
Hong O O
Kong O O
has O O
been O O
buoyed O O
by O O
an O O
unquenchable O O
appetite O O
for O O
its O O
exports O O
, O O
principally O O
in O O
the O O
United B-United_States B-United_States
States I-United_States I-United_States
. O O
Exports O O
surged O O
17.7 O O
percent O O
in O O
the O O
third O O
quarter O O
. O O
Hong O O
Kong O O
has O O
done O O
a O O
particularly O O
booming O O
business O O
in O O
repackaging O O
and O O
shipping O O
goods O O
from O O
mainland O O
China B-China B-China
. O O
Consumer O O
spending O O
rose O O
by O O
a O O
much O O
less O O
impressive O O
5.6 O O
percent O O
, O O
as O O
retail O O
sales O O
slackened O O
from O O
the O O
second O O
quarter O O
. O O
And O O
consumer O O
prices O O
fell O O
2 O O
percent O O
, O O
extending O O
a O O
decline O O
that O O
began O O
during O O
the O O
crisis O O
. O O
Ian O O
Perkin O O
, O O
chief O O
economist O O
at O O
the O O
Hong B-Hong_Kong_General_Chamber_of_Commerce B-Hong_Kong_General_Chamber_of_Commerce
Kong I-Hong_Kong_General_Chamber_of_Commerce I-Hong_Kong_General_Chamber_of_Commerce
General I-Hong_Kong_General_Chamber_of_Commerce I-Hong_Kong_General_Chamber_of_Commerce
Chamber I-Hong_Kong_General_Chamber_of_Commerce I-Hong_Kong_General_Chamber_of_Commerce
of I-Hong_Kong_General_Chamber_of_Commerce I-Hong_Kong_General_Chamber_of_Commerce
Commerce I-Hong_Kong_General_Chamber_of_Commerce I-Hong_Kong_General_Chamber_of_Commerce
said O O
the O O
double-digit O O
growth O O
in O O
Hong O O
Kong O O
and O O
other O O
Asian O O
countries O O
masked O O
their O O
underlying O O
condition O O
. O O
While O O
the O O
region O O
's O O
growth O O
in O O
exports O O
has O O
been O O
torrid O O
, O O
domestic O O
demand O O
has O O
remained O O
tenuous O O
. O O
`` O O
We O O
have O O
n't O O
built O O
up O O
our O O
domestic O O
economies O O
yet O O
, O O
'' O O
he O O
said O O
. O O
`` O O
The O O
recovery O O
has O O
relied O O
almost O O
completely O O
on O O
export O O
growth O O
. O O
`` O O
If O O
consumer O O
spending O O
slows O O
down O O
in O O
the O O
States O O
, O O
it O O
will O O
have O O
a O O
devastating O O
effect O O
on O O
Asia O O
, O O
'' O O
said O O
Perkin O O
. O O
`` O O
2001 O O
could O O
be O O
a O O
crunch O O
year O O
. O O
'' O O
Robinson O O
of O O
the O O
IMF O O
was O O
similarly O O
wary O O
about O O
next O O
year O O
. O O
In O O
October O O
, O O
the O O
IMF O O
projected O O
that O O
the O O
world O O
economy O O
would O O
grow O O
4.2 O O
percent O O
in O O
2001 O O
, O O
while O O
Asia O O
as O O
a O O
region O O
would O O
grow O O
6.6 O O
percent O O
. O O
On O O
Friday O O
, O O
Robinson O O
said O O
the O O
growth O O
rate O O
could O O
be O O
lower O O
, O O
though O O
he O O
would O O
not O O
say O O
by O O
how O O
much O O
. O O
A O O
principal O O
culprit O O
of O O
possibly O O
slower O O
growth O O
is O O
the O O
dependence O O
of O O
many O O
Asian O O
countries O O
on O O
imported O O
oil O O
. O O
Oil O O
prices O O
have O O
risen O O
$ O O
5 O O
per O O
barrel O O
since O O
the O O
IMF O O
issued O O
its O O
semi-annual O O
economic O O
outlook O O
in O O
October O O
. O O
Asia O O
has O O
little O O
control O O
over O O
oil O O
, O O
but O O
Robinson O O
said O O
the O O
region O O
could O O
improve O O
its O O
economic O O
prospects O O
by O O
calming O O
its O O
political O O
waters O O
. O O
One O O
bright O O
spot O O
in O O
the O O
Asian O O
landscape O O
is O O
China O O
, O O
which O O
is O O
on O O
track O O
to O O
record O O
8 O O
percent O O
growth O O
in O O
2000 O O
. O O
Robinson O O
